"Sample";"Zone";"Profondeur";"Date";"Longitude";"Latitude";"RHO";"Recouvrement_Rhodolithes_video";"CaCO3";"LOI_550";"Mean";"Median";"Mode";"SD";"Variance";"CV";"Skewness";"Kurtosis";"d10";"d50";"d90";"pc_2";"pc_4";"pc_63";"pc_125";"pc_250";"pc_500";"pc_1000";"pc_2000";"pc_2500";"pc_4000";"min_bathy";"mean_bathy";"max_bathy";"min_ag";"mean_ag";"max_ag";"min_am";"mean_am";"max_am";"min_aq";"mean_aq";"max_aq";"min_co";"mean_co";"max_co";"min_er";"mean_er";"max_er";"min_in";"mean_in";"max_in";"min_mo_ais";"mean_mo_ais";"max_mo_ais";"min_mo_pp";"mean_mo_pp";"max_mo_pp";"min_pe";"mean_pe";"max_pe";"min_po";"mean_po";"max_po";"min_re";"mean_re";"max_re";"min_to";"mean_to";"max_to";"min_tm";"mean_tm";"max_tm";"p_mean_cum";"dist_land";"dist_ports"
"T10R039";"Rho";66.6;"2022-02-01";9.46898333333333;42.72625;NA;"0";49.2434662998624;7.08723900213261;626.069;339.854;1908.93;671.77;451275;107.3;1.17704;0.693016;30.6958;339.854;1686.63;1.28984;1.0672;15.25156;13.976;12.9722;14.5131;13.9981;23.7773;2.33620000000001;0.8185;-69.3788757324219;-66.8755121231079;-64.6687927246094;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.000229354584007524;0.000325322511101452;0.000440181174781173;0;0;0;0;0;0;0;0;0;0.00242549413815141;0.0025588554640611;0.00270202639512718;0.00288417797516255;755.331139105216;2171.90834828867
"T10S0196";"Bastia";40;"2022-02-08";9.55241666666667;42.61555;"1";"50-90%";51.6069788797062;4.1742994537491;659.981;559.032;1090.81;498.985;248987;75.6061;0.567849;-0.742655;92.3013;559.032;1403.29;0.823946;0.542064;6.30051;5.24778;15.7225;17.8439;26.525;26.9943;0;0;-39.0982933044434;-36.6645869016647;-35.0787391662598;Inf;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00920674670487642;0.00940871718921699;0.00950353592634201;0;0;0;0;0;0;0;0;0;0.00339998444542289;0.00351777228206629;0.00361517583951354;0.0129264894712833;4492.7617127918;12295.607866044
"T10S0197";"Bastia";80;"2022-02-08";9.57296666666667;42.6166833333333;NA;"0";17.0798898071625;3.81468797564689;210.072;190.701;185.348;118.821;14118.5;56.5622;0.992311;1.45451;82.3153;190.701;369.426;1.16913;0.727;6.60502;9.82965;54.4705;23.7619;3.43680000000001;0;0;0;-79.7698822021484;-77.6923695225869;-75.7791748046875;Inf;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00154516263864934;0.00168056739494205;0.00185049511492252;0;0;0;0;0;0;0;0;0;0.00181143719237298;0.0018628665090849;0.00191946246195585;0.00354343390402695;5938.0324324869;13418.9169892692
"T10S0198";"Bastia";40;"2022-02-08";9.58003333333333;42.6027;"1";"50-90%";57.5757575757576;6.64965819513952;826.594;984.849;1314.59;552.023;304729;66.7829;-0.189105;-1.48219;46.6589;984.849;1487.03;1.38857;0.90484;9.35629;5.9896;7.1472;10.3972;15.4507;49.3656;0;0;-39.7172012329102;-38.9123108386993;-38.1365661621094;Inf;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00621650600805879;0.00640316243904332;0.00657370779663324;0;0;0;0;0;0;0;0;0;0.00285736308433115;0.00292660945560783;0.00299201114103198;0.00932977189465115;5671.28058965824;14903.7040285522
"T10S0264";"Taverna";3.13;"2022-02-10";9.5579;42.2029666666667;NA;"0";4.18300653594771;3.87890729361472;370.767;303.884;324.396;295.374;87245.6;79.6656;2.02296;5.40202;86.9888;303.884;700.571;0.413083;0.359926;7.172541;5.83655;24.0196;41.4298;15.9726;4.7959;0;0;-2.72352719306946;-2.13605527877808;-1.59260892868042;0.932574450969696;0.95400950871408;0.980154514312744;0;0;0;0;0;0;0.49428579211235;0.51852329261601;0.548525333404541;0.541463613510132;0.661408586427569;0.794120848178864;0;0;0;0;0;0;0;0;0;0.000127377599710599;0.000164782458341506;0.00019985341350548;0.137388527393341;0.174518438987434;0.216410964727402;0.0140750668942928;0.0181164048262872;0.026959341019392;0.868931651115417;0.904952151700854;0.944072782993317;0.000471147213829681;0.000621774308456224;0.000767892342992127;3.23231494003903;184.891994404377;15390.4361604118
"T10S0265";"Taverna";8.1;"2022-02-10";9.56715;42.1999333333333;NA;"0";3.39869281045752;2.69105138366139;232.587;192.859;168.863;159.956;25586;68.7726;0.68214;-0.441549;46.5767;192.859;481.877;0.570387;0.295896;12.641517;15.7479;32.9828;29.4812;8.2803;0;0;0;-9.59799289703369;-8.50499483846849;-7.71704816818237;0.604395985603333;0.62295081615448;0.645468354225159;0;0;0;0;0;0;0.181424260139465;0.198098566631476;0.216951966285706;0;0.000457248534075916;0.00738187320530415;0;0;0;0;0;0;0;0;0;0.000612371950410306;0.000667912643014764;0.000716261158231646;0;0;0;0.355077654123306;0.455904859304428;0.580166518688202;0.457687526941299;0.489780263106028;0.522377252578735;0.00197532214224339;0.00203435129951686;0.00207931036129594;1.76989401767302;752.140853284206;15817.3798703457
"T10S0266";"Taverna";28.42;"2022-02-10";9.57805;42.1968166666667;NA;"0";32.156862745098;3.03434033907341;620.484;527.902;517.184;376.705;141907;60.7115;1.08671;0.960253;241.195;527.902;1187.59;0.297711;0.169327;2.055432;1.6908;6.54653;35.3042;38.0857;15.8503;0;0;-29.3325500488281;-28.2994121313095;-26.907398223877;0.184648931026459;0.206605288290208;0.22520737349987;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.000308003654936329;0.000345652138123349;0.000390153320040554;0;0;0;0;0;0;0;0.00188322746051258;0.0106772426515818;0.0019237669184804;0.00193758584153388;0.00195612898096442;0.210771753730378;1580.12363836343;16311.0489956552
"T10S0267";"Taverna";40.72;"2022-02-10";9.58618333333333;42.1939666666667;"1";NA;51.5032679738562;7.03602484472052;974.024;1013.35;1197.69;470.902;221749;48.346;-0.286835;-0.61497;295.164;1013.35;1579.36;0.817997;0.543833;4.16496;1.18384;2.42365;8.17922;31.5792;51.1073;0;0;-42.6133003234863;-41.4873255411784;-40.2825775146484;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2258.61999288328;16763.0885285286
"T10S0268";"Taverna";59.9;"2022-02-10";9.59616666666667;42.1906833333333;NA;"0";69.0196078431373;4.66574626989803;432.776;294.109;168.868;375.068;140676;86.6656;1.35607;1.40667;101.165;294.109;995.881;0.777979;0.575901;5.61585;7.70247;29.5747;23.8025;22.0619;9.8887;0;0;-61.8780670166016;-60.9284661156791;-60.0071640014648;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3124.74574602002;17322.3851672027
"T10S0269";"Taverna";79;"2022-02-10";9.60903333333333;42.1867666666667;NA;"0";28.4967320261438;4.67964276083062;428.201;237.278;153.832;424.14;179895;99.0515;1.59108;1.73141;105.611;237.278;1130.79;0.880241;0.458199;3.20401;11.60835;35.6725;20.9679;14.3007;12.9081;0;0;-81.4523315429688;-80.5965410868327;-79.6559219360352;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4249.0374346818;18050.9507078582
